Sno,Country,City,Company,LINKDLN LINK,Website,Tech Need / Problem,EMAIL,CONTACT,Google Maps,Clean_Category,Review
47,India,Jaipur,Healthcare Grocery Store Store,N/A,N/A,N/A,N/A,9314030666,Healthcare Grocery Store Store,Pharmacy,
48,India,Jaipur,Royal Medical,N/A,N/A,N/A,N/A,9829610122,Royal Medical,Pharmacy,
49,India,Jaipur,Sanjeevni Medical,N/A,N/A,N/A,N/A,9950171783,Sanjeevni Medical,Pharmacy,
50,India,Jaipur,Jain Medicals,N/A,N/A,N/A,N/A,9782212372,Jain Medicals,Pharmacy,4.6
51,India,Jaipur,"Dr Gaurav Gupta, MD, DM",N/A,N/A,N/A,N/A,8239187097,"Dr Gaurav Gupta, MD, DM",Medical,4.6
52,India,Jaipur,Dr Abhishek Agrawal,N/A,N/A,N/A,N/A,9829298691,Dr Abhishek Agrawal,Medical,4.6
53,India,Jaipur,Dr. R.Dhan,N/A,N/A,N/A,N/A,9602931113,Dr. R.Dhan,Medical,4.9
54,India,Jaipur,Jaipur Clinic,N/A,N/A,N/A,N/A,2942460888,Jaipur Clinic,Medical,
55,India,Jaipur,Dr S K Sharma,N/A,N/A,N/A,N/A,1412451947,Dr S K Sharma,Medical,4
56,India,Jaipur,Dr Kalyan Sahay,N/A,N/A,N/A,N/A,9352977917,Dr Kalyan Sahay,Medical,4.1
57,India,Jaipur,Dr Raman Sharma,N/A,N/A,N/A,N/A,1412385052,Dr Raman Sharma,Medical,4.6
58,India,Jaipur,Dr. Akhil Goel,N/A,N/A,N/A,N/A,9260991674,Dr. Akhil Goel,Medical,4.8
59,India,Jaipur,Gangori Hospital,N/A,N/A,N/A,N/A,1412329050,Gangori Hospital,Medical,3.8
60,India,Jaipur,Dr. Ankit Gupta,N/A,N/A,N/A,N/A,9413268070,Dr. Ankit Gupta,Medical,4.4
61,India,Jaipur,Dr. Subhash nepalia,N/A,N/A,N/A,N/A,1412368100,Dr. Subhash nepalia,Medical,3.5
62,India,Jaipur,House Of Medical's,N/A,N/A,N/A,N/A,9314801446,House Of Medical's,Medical,
63,India,Jaipur,Infinity Endovascular Clinic,N/A,N/A,N/A,N/A,7729021111,Infinity Endovascular Clinic,Medical,5
64,India,Jaipur,Dr Shashi Panicker,N/A,N/A,N/A,N/A,1412281580,Dr Shashi Panicker,Medical,4.4
65,India,Jaipur,Garg Poly Clinic,N/A,N/A,N/A,N/A,1412201422,Garg Poly Clinic,Medical,4.6
66,India,Jaipur,Dr. Shantanu Sharma,N/A,N/A,N/A,N/A,9828246180,Dr. Shantanu Sharma,Medical,4.6
67,India,Jaipur,Sancheti Grocery Store,N/A,N/A,N/A,N/A,1412622160,Sancheti Grocery Store,Grocery Store,
68,India,Jaipur,GENERAL TECHNICO (RAMESHWAR JI KI CHANDI KI FACTORY),N/A,N/A,N/A,N/A,1412564374,GENERAL TECHNICO (RAMESHWAR JI KI CHANDI KI FACTORY),Retail,5
69,India,Jaipur,Radha Ballabh & Sons,N/A,N/A,N/A,N/A,9649193503,Chopra Generator’s,Electrician store,5
70,India,Jaipur,Shree jai Ganesh Namkeen Bhandar,N/A,N/A,N/A,N/A,9829205895,Shree jai Ganesh Namkeen Bhandar,Food,5
71,India,Jaipur,Gupta Enterprises,N/A,N/A,N/A,N/A,9649003981,Gupta Enterprises,Store,4
72,India,Jaipur,Vishnu Enterprises,N/A,N/A,N/A,N/A,9829586254,Vishnu Enterprises,Countertop store,4.6
73,India,Jaipur,S. K. ENTERPRISES,N/A,N/A,N/A,N/A,8130672775,S. K. ENTERPRISES,Gift shop,5
74,India,Jaipur,Sunil Enterprises,N/A,N/A,N/A,N/A,1412318877,Sunil Enterprises,Pharmaceuticals Exporter,5
75,India,Jaipur,Indian Trading Enterprises,N/A,N/A,N/A,N/A,9314500934,Indian Trading Enterprises,Industrial Salonres & Products Real Estate,5
76,India,Jaipur,Gupta enterprises,N/A,N/A,N/A,N/A,9649003981,Gupta enterprises,Store,4
77,India,Jaipur,Ajay Enterprises,N/A,N/A,N/A,N/A,9414063313,Ajay Enterprises,Services,5
78,India,Jaipur,Star Enterprises,N/A,N/A,N/A,N/A,9829011272,Star Enterprises,Manufacturer,5
